codigo;n_registros;los_mean;los_median;los_std;los_max;n_pacientes;n_outliers;prob_outlier
F07L3ZZ;11;58.54545454545455;44.0;44.080298629577435;147;11;9;0.8181818181818182
F07Z9FZ;14;36.142857142857146;32.0;28.953164149807776;131;14;11;0.7857142857142857
F07Z9ZZ;81;49.96296296296296;32.0;50.011359820655855;262;81;58;0.7160493827160493
05HN33Z;34;45.588235294117645;42.5;37.187581543223104;183;34;24;0.7058823529411765
5A09557;39;48.282051282051285;44.0;34.630340149057254;141;39;26;0.6666666666666666
5A1955Z;101;45.23762376237624;32.0;45.67913057728913;262;101;67;0.6633663366336634
8E0ZXY6;39;46.69230769230769;28.0;58.48488506765247;262;39;23;0.5897435897435898
3E0H76Z;12;34.75;27.5;29.02389297865405;98;12;7;0.5833333333333334
0QS634Z;12;18.416666666666668;26.0;11.602964615941389;30;12;7;0.5833333333333334
05PY33Z;14;31.142857142857142;28.5;22.748988626233114;84;14;8;0.5714285714285714
3E0436Z;156;34.67307692307692;25.5;30.51137565998971;209;156;87;0.5576923076923077
6A800ZZ;18;29.38888888888889;26.0;27.46792544231499;103;18;10;0.5555555555555556
02HV33Z;67;33.56716417910448;29.0;30.964898935386458;156;67;37;0.5522388059701493
0DHA8UZ;13;36.38461538461539;30.0;34.74079844970574;125;13;7;0.5384615384615384
05H633Z;39;27.94871794871795;27.0;26.30884253785239;114;39;20;0.5128205128205128
0QS704Z;10;25.2;22.5;18.29875527035772;60;10;5;0.5
0BH17EZ;42;29.38095238095238;17.0;28.346249703295488;115;42;20;0.47619047619047616
0B9B8ZX;19;35.26315789473684;18.0;43.04886384520007;156;19;9;0.47368421052631576
0QS706Z;17;19.176470588235293;19.0;12.192391552304489;43;17;8;0.47058823529411764
30243N1;68;33.029411764705884;18.5;35.30336358260824;224;68;31;0.45588235294117646
